fold,k,Code,observations,long_days,short_days,long_rate,short_rate
0,32,80350,58,0,58,0.0,1.0
0,32,80580,58,58,0,1.0,0.0
0,32,81360,58,0,58,0.0,1.0
0,32,83060,58,0,58,0.0,1.0
0,32,83160,58,0,58,0.0,1.0
0,32,84110,58,0,58,0.0,1.0
0,32,87250,58,58,0,1.0,0.0
0,32,87660,58,58,0,1.0,0.0
0,32,91010,58,1,57,0.017241379310344827,0.9827586206896551
0,32,91040,58,58,0,1.0,0.0
0,32,91070,58,21,37,0.3620689655172414,0.6379310344827587
0,32,94320,58,58,0,1.0,0.0
0,32,94330,58,38,20,0.6551724137931034,0.3448275862068966
0,32,95010,58,0,58,0.0,1.0
0,32,99830,58,0,58,0.0,1.0
0,32,99840,58,58,0,1.0,0.0
1,32,24320,57,57,0,1.0,0.0
1,32,29140,57,0,57,0.0,1.0
1,32,33500,57,0,57,0.0,1.0
1,32,33820,57,57,0,1.0,0.0
1,32,40630,57,57,0,1.0,0.0
1,32,43850,57,0,57,0.0,1.0
1,32,45020,57,57,0,1.0,0.0
1,32,45190,57,57,0,1.0,0.0
1,32,45680,57,0,57,0.0,1.0
1,32,46610,57,0,57,0.0,1.0
1,32,47550,57,57,0,1.0,0.0
1,32,54010,57,57,0,1.0,0.0
1,32,58010,57,57,0,1.0,0.0
1,32,58030,57,57,0,1.0,0.0
1,32,60980,57,57,0,1.0,0.0
1,32,61460,57,0,57,0.0,1.0
1,32,62730,57,0,57,0.0,1.0
1,32,63670,57,0,57,0.0,1.0
1,32,65010,57,57,0,1.0,0.0
1,32,65030,57,0,57,0.0,1.0
1,32,65260,57,57,0,1.0,0.0
1,32,65940,57,0,57,0.0,1.0
1,32,67010,57,0,57,0.0,1.0
1,32,67020,57,0,57,0.0,1.0
1,32,67230,57,57,0,1.0,0.0
1,32,67580,57,0,57,0.0,1.0
1,32,67620,57,57,0,1.0,0.0
1,32,68570,57,57,0,1.0,0.0
1,32,68610,57,0,57,0.0,1.0
1,32,69020,57,57,0,1.0,0.0
1,32,69200,57,57,0,1.0,0.0
1,32,69540,57,57,0,1.0,0.0
1,32,69810,57,0,57,0.0,1.0
1,32,70030,57,57,0,1.0,0.0
1,32,70110,57,0,57,0.0,1.0
1,32,70120,57,0,57,0.0,1.0
1,32,70130,57,0,57,0.0,1.0
1,32,72010,57,57,0,1.0,0.0
1,32,72030,57,0,57,0.0,1.0
1,32,72670,57,57,0,1.0,0.0
1,32,74530,57,0,57,0.0,1.0
1,32,77350,57,57,0,1.0,0.0
1,32,77410,57,57,0,1.0,0.0
1,32,77510,57,0,57,0.0,1.0
1,32,79360,57,57,0,1.0,0.0
1,32,79740,57,0,57,0.0,1.0
1,32,80010,57,57,0,1.0,0.0
1,32,80310,57,0,57,0.0,1.0
1,32,80350,57,0,57,0.0,1.0
1,32,80580,57,0,57,0.0,1.0
1,32,81360,57,0,57,0.0,1.0
1,32,83060,57,57,0,1.0,0.0
1,32,83160,57,57,0,1.0,0.0
1,32,84110,57,57,0,1.0,0.0
1,32,87250,57,0,57,0.0,1.0
1,32,87660,57,57,0,1.0,0.0
1,32,91010,57,0,57,0.0,1.0
1,32,91040,57,0,57,0.0,1.0
1,32,91070,57,0,57,0.0,1.0
1,32,94320,57,57,0,1.0,0.0
1,32,94330,57,57,0,1.0,0.0
1,32,95010,57,0,57,0.0,1.0
1,32,99830,57,57,0,1.0,0.0
1,32,99840,57,0,57,0.0,1.0
