Code,observations,date_start,date_end,close_mean,close_median,volume_mean,volume_median,zero_volume_rate,return_observations,return_mean,return_std,return_skew,return_kurtosis_excess,return_p01,return_p05,return_median,return_p95,return_p99,abs_return_gt_10pct_rate
69430,295,2024-06-03,2026-05-26,4579.152542372882,4505.0,603.3898305084746,200.0,0.0,294,-0.00024235530298272076,0.016250916655552453,-1.0933773725341727,8.11954411938943,-0.05382534283130111,-0.023559700989947883,0.0,0.022508767024670466,0.03659410379734184,0.003401360544217687
69460,486,2024-05-31,2026-05-29,3840.1111111111113,3477.5,227230.658436214,195350.0,0.0,485,0.002586562184278135,0.04273266076151538,0.2292717598136704,1.8057249294888464,-0.0859941966887468,-0.06161883132522092,-0.0008741259297861959,0.07672808679417416,0.1216666796144038,0.0288659793814433
69470,486,2024-05-31,2026-05-29,4560.390946502058,4625.0,56910.28806584362,49500.0,0.0,485,0.00034122259057977824,0.018790455204796535,-0.4659103699365616,3.405291223502398,-0.05239310955497238,-0.028776284918282255,0.0010476690324434657,0.028714559754509452,0.05093417271610367,0.002061855670103093
69510,486,2024-05-31,2026-05-29,5441.833333333333,5421.5,291614.4032921811,252700.0,0.0,485,0.00011257401357987215,0.02675903343273652,-0.490486308671242,8.28927232718091,-0.07494146249253902,-0.03942714143934545,0.0006351222823859359,0.03759475689338315,0.07596160162167234,0.010309278350515464
69520,486,2024-05-31,2026-05-29,1256.522633744856,1220.25,1147025.9259259258,849150.0,0.0,485,0.0008761494895139758,0.017357208017360116,1.5744477487785804,14.375155834640973,-0.046174677733186016,-0.025199602286954104,0.000852878516518274,0.022386419622213945,0.05974704713191703,0.002061855670103093
69540,486,2024-05-31,2026-05-29,4751.32304526749,4338.5,4473304.732510288,3682350.0,0.0,485,0.001205097620193374,0.027281146336678264,0.4886122201117714,4.415998842428015,-0.06239175613483752,-0.040625172347765214,0.0006391818689959194,0.045770617140063384,0.07334802128795345,0.012371134020618556
69550,486,2024-05-31,2026-05-29,479.1440329218107,432.0,122166.87242798354,60500.0,0.0,485,-0.0010929289207497073,0.030259080600478452,-0.11234550795569254,15.07525865791708,-0.08331663047793203,-0.03507724127991434,-0.0016542600960267606,0.038425905195084334,0.08688838080565281,0.01443298969072165
69570,393,2024-05-31,2026-01-09,4893.814249363868,4550.0,96623.40966921119,41900.0,0.0,392,0.00207678518106533,0.021535210480500007,4.467805706244096,34.395322184720996,-0.034792713500532084,-0.020585979102802375,0.0,0.021839549924269525,0.10704614833937516,0.012755102040816327
69580,486,2024-05-31,2026-05-29,459.8971193415638,438.0,739470.987654321,590500.0,0.0,485,0.00052278157955118,0.02917665168073058,0.015829679857109914,7.58280927220444,-0.07560932133732635,-0.04050057822051389,0.0,0.04570289403175102,0.08341442372442016,0.010309278350515464
69600,486,2024-05-31,2026-05-29,7452.818930041152,6990.0,22788.477366255145,15700.0,0.0,485,0.0013107281955234303,0.018606335567998268,0.2580579442929167,1.0475331177927067,-0.04462229367339667,-0.02965775704780071,0.0013860016078783843,0.03222454075075762,0.05014620877688388,0.0
69610,486,2024-05-31,2026-05-29,7420.0,6255.0,136529.2181069959,101950.0,0.0,485,0.0010368014164022555,0.043707640792583075,-0.5679195234476808,6.108418656246746,-0.15592357775661525,-0.05289637761271137,0.0,0.06566008616096145,0.12734148840432577,0.049484536082474224
69620,486,2024-05-31,2026-05-29,604.1399176954733,588.5,233649.38271604938,176900.0,0.0,485,0.0008009014627939273,0.026362990503826293,0.08473311803994124,7.549602283854654,-0.0729513028407828,-0.03967732646107649,0.0016299922109306308,0.04375461458927318,0.07604394926074898,0.006185567010309278
69630,486,2024-05-31,2026-05-29,2089.7283950617284,1933.25,4486454.115226338,3869850.0,0.0,485,0.0020413037867158985,0.02886078451238098,0.058059251278054363,5.62649200510408,-0.0949403093571368,-0.0386317415079171,0.0017683470567417814,0.04396113698235913,0.08628328078158744,0.016494845360824743
69640,486,2024-05-31,2026-05-29,589.1707818930041,575.0,5148.559670781893,3500.0,0.0,485,0.00022294829615377015,0.01456562158135028,-3.012913271970611,48.10682682668088,-0.029323196296301327,-0.016636228779421634,0.0,0.019025996180505794,0.029625788892530765,0.004123711340206186
69650,486,2024-05-31,2026-05-29,1803.0802469135801,1759.25,2794301.646090535,2195150.0,0.0,485,0.00044118218900996846,0.03088396523510891,-0.19985613961800044,9.28028625115359,-0.08413297637705995,-0.04598441296293707,0.0,0.04529795876750664,0.07672273139368088,0.012371134020618556
69660,486,2024-05-31,2026-05-29,827.0652263374486,783.35,1544709.465020576,1262150.0,0.0,485,-0.000657999049487445,0.03306851800343124,-0.829446865998579,7.487763498297705,-0.11557257636536324,-0.05121819139078134,-0.0013651879253400168,0.04358290288803219,0.0869001060583079,0.024742268041237112
69670,248,2024-05-31,2025-06-05,5752.443548387097,5687.5,811643.9516129033,628550.0,0.0,247,0.00021489477387767235,0.030836880912384852,-0.4634959096338384,26.712278401045523,-0.1483753668546406,-0.008889549174248935,0.0,0.015284171052764,0.14369583986415294,0.032388663967611336
69690,486,2024-05-31,2026-05-29,738.0102880658436,620.0,18665.22633744856,9850.0,0.0,485,0.002686997571386104,0.034696344950401255,0.10658813058472778,8.38837430017653,-0.0923184865944469,-0.041567889576197815,0.0,0.06556294139144805,0.08952504579913792,0.018556701030927835
69710,486,2024-05-31,2026-05-29,1948.7942386831276,1804.0,4726328.600823046,4190150.0,0.0,485,0.0013771453792362019,0.020107892678595488,-0.35793252613765253,9.124344805547754,-0.04790680819453172,-0.02524095458120854,0.001506780797386753,0.03038195266655417,0.06423812531180743,0.006185567010309278
69730,337,2024-05-31,2025-10-15,2791.6973293768547,2344.0,13093.768545994066,5300.0,0.0,336,0.0009185971493224167,0.026210379269103114,2.6208555664959436,33.77060633167256,-0.06219839237933287,-0.024898421453003694,0.0,0.020393155797077123,0.08594551372008588,0.011904761904761904
